uid, start, end, summary, description, location
CSVConvertce9d4856c8e3046c996874fe2d910f90,"07 August 2012 05:30:00 AM -0500","07 August 2012 08:00:00 AM -0500","Triathlon: MEN - event + victory ceremony","","Hyde Park, London"
CSVConvertae2436c9e5ba32a8902cf29591ba9d65,"09 August 2012 03:00:00 AM -0500","09 August 2012 07:00:00 AM -0500","Taekwondo: MEN -80kg: preliminary round of 16. WOMEN -67kg: preliminary round of 16","","ExCel, Docklands, London"
CSVConvert51487ddfb61abe8bad1df97de7b7f7a0,"09 August 2012 02:00:00 PM -0500","09 August 2012 05:15:00 PM -0500","Taekwondo: MEN -68kg: repechages, bronze medal contests, gold medal contest, victory ceremony. WOMEN -57kg: repechages, bronze medal contests, gold medal contest, victory ceremony","","ExCel, Docklands, London"
CSVConvert39e979b6ab29dfd365606ef092578783,"09 August 2012 09:00:00 AM -0500","09 August 2012 12:00:00 PM -0500","Taekwondo: MEN -68kg: quarter-finals, semi-finals. WOMEN -57kg: quarter-finals, semi-finals","","ExCel, Docklands, London"
CSVConvert1ee8fa5ce5f48e3b776f6cf2e0f44afe,"08 August 2012 03:00:00 AM -0500","08 August 2012 07:00:00 AM -0500","Taekwondo: MEN -68kg: preliminary round of 16. WOMEN -57kg: preliminary round of 16","","ExCel, Docklands, London"
CSVConvert37ce9d769efc3d8416396df5fa32c6c4,"08 August 2012 02:00:00 PM -0500","08 August 2012 05:15:00 PM -0500","Taekwondo: MEN -58kg: repechages, bronze medal contests, gold medal contest, victory ceremony. WOMEN -49kg: repechages, bronze medal contests, gold medal contest, victory ceremony","","ExCel, Docklands, London"
CSVConvertdb66cd3e66791438fbed86ce6637fbe2,"08 August 2012 09:00:00 AM -0500","08 August 2012 12:00:00 PM -0500","Taekwondo: MEN -58kg: quarter-finals, semi-finals. WOMEN -49kg: quarter-finals, semi-finals","","ExCel, Docklands, London"
CSVConvert261fc7520bae8245edfd5897231623e0,"08 August 2012 03:00:00 AM -0500","08 August 2012 07:00:00 AM -0500","Taekwondo: MEN -58kg: preliminary round of 16. WOMEN -49kg: preliminary round of 16","","ExCel, Docklands, London"
CSVConvert9ed2294a4989eb05251358786a5f7888,"10 August 2012 03:00:00 AM -0500","10 August 2012 07:00:00 AM -0500","Taekwondo: MEN +80kg: preliminary round of 16. WOMEN +67kg: preliminary round of 16","","ExCel, Docklands, London"
CSVConvert805ed26742fe67cfcb186dd6dd52e8f6,"07 August 2012 05:00:00 AM -0500","07 August 2012 08:00:00 AM -0500","Table Tennis: WOMEN -Team: bronze medal match","","ExCel, Docklands, London"
CSVConvert796da50edb502e2bc8827e27cb49554b,"07 August 2012 09:30:00 AM -0500","07 August 2012 12:30:00 PM -0500","Table Tennis: WOMEN - Team: gold medal match, victory ceremony","","ExCel, Docklands, London"
CSVConvertc50f67dd591742528c5f1076698326f8,"06 August 2012 01:00:00 PM -0500","06 August 2012 04:00:00 PM -0500","Table Tennis: MEN- Team: semi-final","","ExCel, Docklands, London"
CSVConvert4533149c84aecf78bfeaa4601e216632,"08 August 2012 09:30:00 AM -0500","08 August 2012 12:30:00 PM -0500","Table Tennis: MEN- Team: gold medal match, victory ceremony","","ExCel, Docklands, London"
CSVConvert6a02c700dad5b96ded8813088dccebf2,"06 August 2012 08:30:00 AM -0500","06 August 2012 11:30:00 AM -0500","Table Tennis: MEN -Team: semi-final","","ExCel, Docklands, London"
CSVConvertc2511420739b4f13d51458a2db6b782e,"08 August 2012 05:00:00 AM -0500","08 August 2012 08:00:00 AM -0500","Table Tennis: MEN -Team: bronze medal match","","ExCel, Docklands, London"
CSVConvert48377a1ae7dcf2bcd3703b7a7f2166b5,"09 August 2012 09:00:00 AM -0500","09 August 2012 09:45:00 AM -0500","Sychronised Swimming: WOMEN - Teams: technical routine","","Aquatics Centre, Olympic Park, Stratford, London"
